transformed_feature,raw_feature,is_missing_indicator,gain,gain_share,split_count,mean_abs_shap_log_odds,shap_share
numeric__CC_DPD_DEF_MONTH_COUNT,CC_DPD_DEF_MONTH_COUNT,False,49.090500831604004,7.926107469064589e-05,4,0.00015887331070197264,5.095306275019783e-05
numeric__BB_SEVERE_DELINQUENT_MONTHS,BB_SEVERE_DELINQUENT_MONTHS,False,60.79240131378174,9.815485642903214e-05,3,0.0001571774735292634,5.040918223626265e-05
numeric__missingindicator_AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_HOUR,True,55.016921520233154,8.882981945576782e-05,3,0.00014439010964733734,4.6308082111852004e-05
numeric__FLAG_EMAIL,FLAG_EMAIL,False,24.9621000289917,4.0303578927015766e-05,2,0.00014156218082672184,4.540112276157943e-05
numeric__CC_CONTRACT_COUNT,CC_CONTRACT_COUNT,False,27.806670427322388,4.489639633538365e-05,5,0.00012311672290925407,3.948538669129686e-05
numeric__missingindicator_APARTMENTS_AVG,APARTMENTS_AVG,True,33.54410982131958,5.416001362665191e-05,3,0.00011605131625880505,3.721940440122349e-05
numeric__HAS_POS_HISTORY,HAS_POS_HISTORY,False,22.903400421142578,3.6979621325868576e-05,2,0.00010253895043029877,3.288578523686273e-05
numeric__missingindicator_PREV_DOWN_PAYMENT_RATE_MEAN,PREV_DOWN_PAYMENT_RATE_MEAN,True,10.881400108337402,1.7569009321870316e-05,1,9.303959644238227e-05,2.9839199389976108e-05
numeric__CC_RECENT_12M_DPD_COUNT,CC_RECENT_12M_DPD_COUNT,False,33.90872097015381,5.47487114604737e-05,3,8.977100914803733e-05,2.8790914232592595e-05
numeric__missingindicator_BUREAU_ANNUITY_SUM,BUREAU_ANNUITY_SUM,True,17.269089698791504,2.7882514646788407e-05,2,6.946803126928112e-05,2.2279443543769724e-05
numeric__BB_DEFAULT_MONTHS,BB_DEFAULT_MONTHS,False,23.021960258483887,3.717104695737834e-05,2,5.567146268547747e-05,1.785467627680783e-05
numeric__missingindicator_FLOORSMIN_AVG,FLOORSMIN_AVG,True,22.95639991760254,3.7065193829231086e-05,2,5.172132602165042e-05,1.6587807975174724e-05
numeric__BUREAU_DAYS_OVERDUE_MEAN,BUREAU_DAYS_OVERDUE_MEAN,False,17.369629859924316,2.804484587352193e-05,2,4.7635299299957716e-05,1.527735768601355e-05
numeric__missingindicator_CC_UTILIZATION_MAX,CC_UTILIZATION_MAX,True,21.357800483703613,3.448410977051815e-05,2,4.586592166948252e-05,1.4709891640042369e-05
numeric__BUREAU_OVERDUE_RATE,BUREAU_OVERDUE_RATE,False,20.804579734802246,3.3590884597495333e-05,2,4.563335282143478e-05,1.4635303308900036e-05
numeric__missingindicator_APARTMENTS_MEDI,APARTMENTS_MEDI,True,10.253199577331543,1.6554722476853992e-05,1,4.2447685828231603e-05,1.3613611940546746e-05
numeric__FLAG_CONT_MOBILE,FLAG_CONT_MOBILE,False,13.179499626159668,2.127949983312991e-05,1,3.7306240523379085e-05,1.1964673021307571e-05
numeric__missingindicator_TOTALAREA_MODE,TOTALAREA_MODE,True,19.42455005645752,3.136270127164566e-05,2,3.469568484191052e-05,1.1127428509545147e-05
numeric__missingindicator_LIVINGAREA_MEDI,LIVINGAREA_MEDI,True,12.324199676513672,1.9898540339065163e-05,1,3.455367572687983e-05,1.1081884048255282e-05
numeric__AMT_REQ_CREDIT_BUREAU_HOUR,AMT_REQ_CREDIT_BUREAU_HOUR,False,12.236800193786621,1.9757425931776557e-05,1,3.3372753494417886e-05,1.0703144508254054e-05
numeric__FLAG_DOCUMENT_5,FLAG_DOCUMENT_5,False,12.739999771118164,2.0569887377627192e-05,1,3.0643143331523284e-05,9.827717431805401e-06
numeric__missingindicator_NONLIVINGAREA_MEDI,NONLIVINGAREA_MEDI,True,21.455480098724365,3.46418223856017e-05,2,2.9821260034465265e-05,9.564127084104433e-06
numeric__missingindicator_LIVINGAPARTMENTS_MEDI,LIVINGAPARTMENTS_MEDI,True,13.611700057983398,2.1977326706512633e-05,1,2.8957188957027553e-05,9.287006480053422e-06
numeric__BUREAU_PROLONG_SUM,BUREAU_PROLONG_SUM,False,7.204480171203613,1.163228794336154e-05,1,2.6947965187967132e-05,8.642618166297123e-06
numeric__HAS_CREDIT_CARD_HISTORY,HAS_CREDIT_CARD_HISTORY,False,14.863300323486328,2.3998149074309578e-05,1,2.4865641424529796e-05,7.974785583745337e-06
numeric__missingindicator_PREV_DOWN_PAYMENT_MEAN,PREV_DOWN_PAYMENT_MEAN,True,7.089260101318359,1.1446254669910862e-05,1,2.2757063585047783e-05,7.298532923722753e-06
numeric__missingindicator_PREV_CREDIT_TO_APPLICATION_MEAN,PREV_CREDIT_TO_APPLICATION_MEAN,True,5.252920150756836,8.481316942382728e-06,1,2.09728817037213e-05,6.726318931609692e-06
numeric__missingindicator_LANDAREA_MEDI,LANDAREA_MEDI,True,6.976799964904785,1.1264677559859094e-05,1,1.6304686100961247e-05,5.22915831711337e-06
numeric__BUREAU_DAYS_OVERDUE_MAX,BUREAU_DAYS_OVERDUE_MAX,False,13.495599746704102,2.1789872203339356e-05,1,1.5248477528321366e-05,4.890416325514975e-06
numeric__missingindicator_YEARS_BUILD_MODE,YEARS_BUILD_MODE,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_YEARS_BEGINEXPLUATATION_MODE,YEARS_BEGINEXPLUATATION_MODE,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_YEARS_BEGINEXPLUATATION_MEDI,YEARS_BEGINEXPLUATATION_MEDI,True,0.0,0.0,0,0.0,0.0
numeric__missingindicator_PREV_DAYS_SINCE_DECISION_MIN,PREV_DAYS_SINCE_DECISION_MIN,True,0.0,0.0,0,0.0,0.0
